Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.5714285714285714,0.5217391304347826,0.23076923076923078,0.5454545454545454,12,9,11,21,1489864649,00:00:01,0.5,SYNONYMY_OR_HYPERNYMY,BabelNet Symbolic
CLASSES,0.8,0.631578947368421,0.3,0.7058823529411765,12,3,7,15,-,-,0.5,SYNONYMY_OR_HYPERNYMY,BabelNet Symbolic
PROPERTIES,0.0,0.0,0.0,0.0,0,6,4,6,-,-,0.5,SYNONYMY_OR_HYPERNYMY,BabelNet Symbolic
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,BabelNet Symbolic
