Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
conference,wordnet_syn,COMBINED_Syn,0.05,5,16,0
SAP_FS,wikidata_syn,dbpedia_syn,0.05,0,5,0
SAP_FS,dbpedia_syn,wikidata_syn,0.05,0,5,0
anatomy_track,dbpedia_syn,webIsClassic_syn,0.05,1,0,0
anatomy_track,webIsClassic_syn,dbpedia_syn,0.05,1,0,0
largebio,wiktionary_syn,wikidata_syn,0.05,1,0,0
conference,COMBINED_Syn,wiktionary_syn,0.05,7,14,0
conference,wiktionary_syn,COMBINED_Syn,0.05,7,14,0
largebio,wikidata_syn,wiktionary_syn,0.05,1,0,0
SAP_FS,dbpedia_syn,COMBINED_Syn,0.05,1,4,0
SAP_FS,COMBINED_Syn,dbpedia_syn,0.05,1,4,0
anatomy_track,babelnet_syn,dbpedia_syn,0.05,1,0,0
anatomy_track,dbpedia_syn,babelnet_syn,0.05,1,0,0
SAP_FS,wiktionary_syn,wordnet_syn,0.05,1,4,0
SAP_FS,wordnet_syn,wiktionary_syn,0.05,1,4,0
SAP_FS,babelnet_syn,webIsClassic_syn,0.05,1,4,0
SAP_FS,webIsClassic_syn,babelnet_syn,0.05,1,4,0
largebio,dbpedia_syn,babelnet_syn,0.05,0,1,0
largebio,babelnet_syn,dbpedia_syn,0.05,0,1,0
conference,wikidata_syn,COMBINED_Syn,0.05,8,13,0
conference,COMBINED_Syn,wikidata_syn,0.05,8,13,0
SAP_FS,wiktionary_syn,dbpedia_syn,0.05,4,1,0
SAP_FS,dbpedia_syn,wiktionary_syn,0.05,4,1,0
conference,wikidata_syn,wikidata_syn,0.05,0,21,0
anatomy_track,wordnet_syn,babelnet_syn,0.05,1,0,0
anatomy_track,babelnet_syn,wordnet_syn,0.05,1,0,0
SAP_FS,wordnet_syn,babelnet_syn,0.05,2,3,0
SAP_FS,babelnet_syn,wordnet_syn,0.05,2,3,0
SAP_FS,wordnet_syn,COMBINED_Syn,0.05,1,4,0
SAP_FS,COMBINED_Syn,wordnet_syn,0.05,1,4,0
SAP_FS,webIsClassic_syn,COMBINED_Syn,0.05,1,4,0
SAP_FS,COMBINED_Syn,webIsClassic_syn,0.05,1,4,0
SAP_FS,wiktionary_syn,webIsClassic_syn,0.05,3,2,0
SAP_FS,webIsClassic_syn,wiktionary_syn,0.05,3,2,0
SAP_FS,wordnet_syn,wikidata_syn,0.05,1,4,0
SAP_FS,wikidata_syn,wordnet_syn,0.05,1,4,0
SAP_FS,dbpedia_syn,babelnet_syn,0.05,2,3,0
SAP_FS,babelnet_syn,dbpedia_syn,0.05,2,3,0
conference,babelnet_syn,COMBINED_Syn,0.05,7,14,0
conference,COMBINED_Syn,babelnet_syn,0.05,7,14,0
anatomy_track,babelnet_syn,webIsClassic_syn,0.05,1,0,0
anatomy_track,webIsClassic_syn,babelnet_syn,0.05,1,0,0
anatomy_track,dbpedia_syn,COMBINED_Syn,0.05,1,0,0
anatomy_track,COMBINED_Syn,dbpedia_syn,0.05,1,0,0
SAP_FS,webIsClassic_syn,wikidata_syn,0.05,1,4,0
SAP_FS,wikidata_syn,webIsClassic_syn,0.05,1,4,0
largebio,babelnet_syn,wordnet_syn,0.05,1,0,0
largebio,wordnet_syn,babelnet_syn,0.05,1,0,0
anatomy_track,wiktionary_syn,dbpedia_syn,0.05,1,0,0
anatomy_track,dbpedia_syn,wiktionary_syn,0.05,1,0,0
largebio,wikidata_syn,webIsClassic_syn,0.05,1,0,0
