Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.19047619047619047,0.5714285714285714,0.0,0.2857142857142857,4,17,3,21,32646804,00:00:00,0.5,SYNONYMY,wiktionary_emb
CLASSES,0.26666666666666666,0.6666666666666666,0.0,0.3809523809523809,4,11,2,15,-,-,0.5,SYNONYMY,wiktionary_emb
PROPERTIES,0.0,0.0,0.0,0.0,0,6,1,6,-,-,0.5,SYNONYMY,wiktionary_emb
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
