Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.5625,0.6,0.0,0.5806451612903225,9,7,6,16,390069553,00:00:00,0.5,SYNONYMY_OR_HYPERNYMY,AlodClassic_MinConf_0.5
CLASSES,0.6363636363636364,0.6363636363636364,0.0,0.6363636363636364,7,4,4,11,-,-,0.5,SYNONYMY_OR_HYPERNYMY,AlodClassic_MinConf_0.5
PROPERTIES,0.4,0.5,0.0,0.4444444444444445,2,3,2,5,-,-,0.5,SYNONYMY_OR_HYPERNYMY,AlodClassic_MinConf_0.5
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,AlodClassic_MinConf_0.5
