Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.8942213516160626,0.33991064780342517,0.10208227526663281,0.49258160237388726,0.8942213516160626,0.33991064780342517,0.10208227526663281,0.49258160237388726,913,201,108,1773,1130,2233032055218,00:37:13,0.5,SYNONYMY_OR_HYPERNYMY,WikidataKnowledgeSource
CLASSES,0.8942213516160626,0.33991064780342517,0.10208227526663281,0.49258160237388726,0.8942213516160626,0.33991064780342517,0.10208227526663281,0.49258160237388726,913,201,108,1773,1130,-,-,0.5,SYNONYMY_OR_HYPERNYMY,WikidataKnowledgeSource
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,WikidataKnowledgeSource
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,WikidataKnowledgeSource
