Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
anatomy_track,COMBINED_Emb,ALL,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,1192,121,3753,324,4945,0,00:00:00,-,-,-
anatomy_track,COMBINED_Emb,CLASSES,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,1192,121,3751,324,4943,-,-,-,-,-
anatomy_track,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,-,-,-
anatomy_track,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
largebio,wordnet_emb,ALL,0.6257621951219512,0.3056589724497394,0.05535804977145759,0.4107053526763382,0.6257621951219512,0.3056589724497394,0.05535804977145759,0.4107053526763382,821,109,491,1865,1400,68442702522,00:01:08,0.5,SYNONYMY,wordnet_emb
largebio,wordnet_emb,CLASSES,0.6257621951219512,0.3056589724497394,0.05535804977145759,0.4107053526763382,0.6257621951219512,0.3056589724497394,0.05535804977145759,0.4107053526763382,821,109,491,1865,1400,-,-,0.5,SYNONYMY,wordnet_emb
largebio,wordnet_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
largebio,wordnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
conference,wordnet_emb,ALL,0.5107779747485631,0.5580786763701693,0.07543825222396651,0.5333817135690891,0.5046728971962616,0.5311475409836065,0.0718954248366013,0.5175718849840255,162,11,159,143,321,5328609039,00:00:05,0.5,SYNONYMY,wordnet_emb
conference,wordnet_emb,CLASSES,0.6322207709812753,0.5981245102771747,0.0365079365079365,0.6147001899230244,0.6320346320346321,0.5637065637065637,0.05084745762711865,0.5959183673469389,146,6,85,113,231,-,-,0.5,SYNONYMY,wordnet_emb
conference,wordnet_emb,PROPERTIES,0.18095238095238098,0.2507936507936508,0.12698412698412698,0.21022408963585434,0.17777777777777778,0.34782608695652173,0.14285714285714285,0.23529411764705882,16,5,74,30,90,-,-,0.5,SYNONYMY,wordnet_emb
conference,wordnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
SAP_FS,wordnet_emb,ALL,0.3801157428755879,0.13895497847665808,0.0019836639439906652,0.20351359726981322,0.777602523659306,0.4816334505666276,0.007855822550831794,0.5948359073359074,2465,17,705,2653,3170,20194474103,00:00:20,0.5,SYNONYMY,wordnet_emb
SAP_FS,wordnet_emb,CLASSES,0.19855769230769232,0.12383808095952024,0.0,0.152539242843952,0.9927884615384616,0.5551075268817204,0.0,0.7120689655172413,413,0,3,331,416,-,-,0.5,SYNONYMY,wordnet_emb
SAP_FS,wordnet_emb,PROPERTIES,0.3738207094918504,0.14593294152320518,0.0023287671232876716,0.2099177394209668,0.7450980392156863,0.4691358024691358,0.009274413529732678,0.5757575757575758,2052,17,702,2322,2754,-,-,0.5,SYNONYMY,wordnet_emb
SAP_FS,wordnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
anatomy_track,wordnet_emb,ALL,0.7332878581173261,0.7091029023746702,0.05417607223476298,0.7209926224010731,0.7332878581173261,0.7091029023746702,0.05417607223476298,0.7209926224010731,1075,24,391,441,1466,30601303430,00:00:30,0.5,SYNONYMY,wordnet_emb
anatomy_track,wordnet_emb,CLASSES,0.7342896174863388,0.7091029023746702,0.05417607223476298,0.721476510067114,0.7342896174863388,0.7091029023746702,0.05417607223476298,0.721476510067114,1075,24,389,441,1464,-,-,0.5,SYNONYMY,wordnet_emb
anatomy_track,wordnet_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,wordnet_emb
anatomy_track,wordnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
largebio,babelnet_emb,ALL,0.3118790496760259,0.268801191362621,0.0045708481462671405,0.28874225154969,0.3118790496760259,0.268801191362621,0.0045708481462671405,0.28874225154969,722,9,1593,1964,2398,257704212592,00:04:17,0.5,SYNONYMY,babelnet_emb
largebio,babelnet_emb,CLASSES,0.3118790496760259,0.268801191362621,0.0045708481462671405,0.28874225154969,0.3118790496760259,0.268801191362621,0.0045708481462671405,0.28874225154969,722,9,1593,1964,2398,-,-,0.5,SYNONYMY,babelnet_emb
largebio,babelnet_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,babelnet_emb
largebio,babelnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,babelnet_emb
conference,babelnet_emb,ALL,0.13692946924790292,0.5181460130507781,0.027777777777777773,0.21661460542225175,0.13262599469496023,0.4918032786885246,0.013071895424836602,0.20891364902506962,150,2,981,155,1131,5358236198,00:00:05,0.5,SYNONYMY,babelnet_emb
conference,babelnet_emb,CLASSES,0.19226121015887762,0.5766991819459947,0.023809523809523808,0.2883812580127016,0.18181818181818182,0.5405405405405406,0.00847457627118644,0.27210884353741494,140,1,630,119,770,-,-,0.5,SYNONYMY,babelnet_emb
conference,babelnet_emb,PROPERTIES,0.024239666626884673,0.14603174603174604,0.023809523809523808,0.0415778642519178,0.027700831024930747,0.21739130434782608,0.02857142857142857,0.049140049140049144,10,1,351,36,361,-,-,0.5,SYNONYMY,babelnet_emb
conference,babelnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,babelnet_emb
SAP_FS,babelnet_emb,ALL,0.20613854787056368,0.13771045411312238,0.001866977829638273,0.16511569249121616,0.6878306878306878,0.482610394685424,0.0073937153419593345,0.5672293030198645,2470,16,1121,2648,3591,37270138999,00:00:37,0.5,SYNONYMY,babelnet_emb
SAP_FS,babelnet_emb,CLASSES,0.1903225806451613,0.12383808095952024,0.0,0.1500454132606721,0.9260089686098655,0.5551075268817204,0.0,0.6941176470588235,413,0,33,331,446,-,-,0.5,SYNONYMY,babelnet_emb
SAP_FS,babelnet_emb,PROPERTIES,0.2008458011768754,0.14390846205856347,0.002191780821917808,0.1676754340151292,0.654054054054054,0.4702789208962048,0.00872885979268958,0.5471472270248703,2057,16,1088,2317,3145,-,-,0.5,SYNONYMY,babelnet_emb
SAP_FS,babelnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,babelnet_emb
anatomy_track,babelnet_emb,ALL,0.5141187925998053,0.6965699208443272,0.01805869074492099,0.5915966386554623,0.5141187925998053,0.6965699208443272,0.01805869074492099,0.5915966386554623,1056,8,998,460,2054,91761419659,00:01:31,0.5,SYNONYMY,babelnet_emb
anatomy_track,babelnet_emb,CLASSES,0.5146198830409356,0.6965699208443272,0.01805869074492099,0.5919282511210763,0.5146198830409356,0.6965699208443272,0.01805869074492099,0.5919282511210763,1056,8,996,460,2052,-,-,0.5,SYNONYMY,babelnet_emb
anatomy_track,babelnet_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,babelnet_emb
anatomy_track,babelnet_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,babelnet_emb
largebio,wiktionary_emb,ALL,0.4767879548306148,0.28294862248696945,0.023869984763839513,0.3551401869158879,0.4767879548306148,0.28294862248696945,0.023869984763839513,0.3551401869158879,760,47,834,1926,1682,67509730728,00:01:07,0.5,SYNONYMY,wiktionary_emb
largebio,wiktionary_emb,CLASSES,0.4767879548306148,0.28294862248696945,0.023869984763839513,0.3551401869158879,0.4767879548306148,0.28294862248696945,0.023869984763839513,0.3551401869158879,760,47,834,1926,1682,-,-,0.5,SYNONYMY,wiktionary_emb
largebio,wiktionary_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
largebio,wiktionary_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
conference,wiktionary_emb,ALL,0.25715271380892063,0.5552472416443244,0.07231379731379732,0.35150995286329245,0.24883359253499224,0.5245901639344263,0.06535947712418301,0.33755274261603374,160,10,483,145,643,24680927571,00:00:24,0.5,SYNONYMY,wiktionary_emb
conference,wiktionary_emb,CLASSES,0.3646248548576138,0.6159023485927703,0.0869047619047619,0.45806644358636817,0.35071090047393366,0.5714285714285714,0.06779661016949153,0.434654919236417,148,8,274,111,422,-,-,0.5,SYNONYMY,wiktionary_emb
conference,wiktionary_emb,PROPERTIES,0.04670754266618929,0.1634920634920635,0.03968253968253968,0.07265772444302052,0.05429864253393665,0.2608695652173913,0.05714285714285714,0.08988764044943821,12,2,209,34,221,-,-,0.5,SYNONYMY,wiktionary_emb
conference,wiktionary_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
SAP_FS,wiktionary_emb,ALL,0.2857435585311422,0.14272146199383112,0.0036163170052151555,0.19036204345884278,0.7437216338880485,0.4802657288003126,0.00878003696857671,0.5836400332423126,2458,19,847,2660,3305,16375539393,00:00:16,0.5,SYNONYMY,wiktionary_emb
SAP_FS,wiktionary_emb,CLASSES,0.39619952494061755,0.13436439674899395,0.010526315789473684,0.2006736907076296,0.9561200923787528,0.5564516129032258,0.0030211480362537764,0.703483432455395,414,1,19,330,433,-,-,0.5,SYNONYMY,wiktionary_emb
SAP_FS,wiktionary_emb,PROPERTIES,0.2911693118073458,0.14959875869003655,0.003213722875500061,0.19764847106941166,0.7116991643454039,0.4673068129858253,0.009819967266775777,0.5641733370135246,2044,18,828,2330,2872,-,-,0.5,SYNONYMY,wiktionary_emb
SAP_FS,wiktionary_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
anatomy_track,wiktionary_emb,ALL,0.6440168370414913,0.7064643799472295,0.03837471783295711,0.6737967914438503,0.6440168370414913,0.7064643799472295,0.03837471783295711,0.6737967914438503,1071,17,592,445,1663,30302418215,00:00:30,0.5,SYNONYMY,wiktionary_emb
anatomy_track,wiktionary_emb,CLASSES,0.6447922937989163,0.7064643799472295,0.03837471783295711,0.6742209631728046,0.6447922937989163,0.7064643799472295,0.03837471783295711,0.6742209631728046,1071,17,590,445,1661,-,-,0.5,SYNONYMY,wiktionary_emb
anatomy_track,wiktionary_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,wiktionary_emb
anatomy_track,wiktionary_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wiktionary_emb
largebio,wikidata_emb,ALL,0.3540041067761807,0.3209233060312733,0.07618080243778567,0.3366529974614333,0.3540041067761807,0.3209233060312733,0.07618080243778567,0.3366529974614333,862,150,1573,1824,2536,2982898831647,00:49:42,0.5,SYNONYMY,wikidata_emb
largebio,wikidata_emb,CLASSES,0.3540041067761807,0.3209233060312733,0.07618080243778567,0.3366529974614333,0.3540041067761807,0.3209233060312733,0.07618080243778567,0.3366529974614333,862,150,1573,1824,2536,-,-,0.5,SYNONYMY,wikidata_emb
largebio,wikidata_emb,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wikidata_emb
largebio,wikidata_emb,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wikidata_emb
conference,wikidata_emb,ALL,0.13119929059992033,0.5616628052934131,0.12013125763125763,0.21271119331718086,0.1245311327831958,0.5442622950819672,0.13071895424836602,0.2026862026862027,166,20,1167,139,1333,250886304157,00:04:10,0.5,SYNONYMY,wikidata_emb
conference,wikidata_emb,CLASSES,0.1911543681829628,0.618542976462231,0.12889266817838246,0.2920528087231361,0.1776239907727797,0.5945945945945946,0.1440677966101695,0.2735346358792185,154,17,713,105,867,-,-,0.5,SYNONYMY,wikidata_emb
conference,wikidata_emb,PROPERTIES,0.02375895973340672,0.20317460317460317,0.0873015873015873,0.04254299940316059,0.02575107296137339,0.2608695652173913,0.08571428571428572,0.04687499999999999,12,3,454,34,466,-,-,0.5,SYNONYMY,wikidata_emb
