Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,conference-sigkdd,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,6,3,6,-,-,0.5,SYNONYMY,alod_emb
conference,conference-sigkdd,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,conference-confof,alod_emb,ALL,0.36,0.6,0.0,0.45,9,16,6,25,109808381,00:00:00,0.5,SYNONYMY,alod_emb
conference,conference-confof,alod_emb,CLASSES,0.3888888888888889,0.6363636363636364,0.0,0.4827586206896552,7,11,4,18,-,-,0.5,SYNONYMY,alod_emb
conference,conference-confof,alod_emb,PROPERTIES,0.2857142857142857,0.5,0.0,0.36363636363636365,2,5,2,7,-,-,0.5,SYNONYMY,alod_emb
conference,conference-confof,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,confof-ekaw,alod_emb,ALL,0.4230769230769231,0.55,0.1,0.47826086956521735,11,15,9,26,80167251,00:00:00,0.5,SYNONYMY,alod_emb
conference,confof-ekaw,alod_emb,CLASSES,0.5,0.55,0.1,0.5238095238095238,11,11,9,22,-,-,0.5,SYNONYMY,alod_emb
conference,confof-ekaw,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,4,0,4,-,-,0.5,SYNONYMY,alod_emb
conference,confof-ekaw,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,confof-edas,alod_emb,ALL,0.32432432432432434,0.631578947368421,0.125,0.42857142857142855,12,25,7,37,112926222,00:00:00,0.5,SYNONYMY,alod_emb
conference,confof-edas,alod_emb,CLASSES,0.45,0.6428571428571429,0.0,0.5294117647058824,9,11,5,20,-,-,0.5,SYNONYMY,alod_emb
conference,confof-edas,alod_emb,PROPERTIES,0.17647058823529413,0.6,0.3333333333333333,0.2727272727272727,3,14,2,17,-,-,0.5,SYNONYMY,alod_emb
conference,confof-edas,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-ekaw,alod_emb,ALL,0.19230769230769232,0.45454545454545453,0.0,0.27027027027027023,5,21,6,26,285487086,00:00:00,0.5,SYNONYMY,alod_emb
conference,cmt-ekaw,alod_emb,CLASSES,0.3125,0.625,0.0,0.4166666666666667,5,11,3,16,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-ekaw,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,10,3,10,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-ekaw,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,edas-ekaw,alod_emb,ALL,0.2553191489361702,0.5217391304347826,0.15384615384615385,0.3428571428571428,12,35,11,47,130533906,00:00:00,0.5,SYNONYMY,alod_emb
conference,edas-ekaw,alod_emb,CLASSES,0.2894736842105263,0.5789473684210527,0.2,0.3859649122807018,11,27,8,38,-,-,0.5,SYNONYMY,alod_emb
conference,edas-ekaw,alod_emb,PROPERTIES,0.1111111111111111,0.25,0.0,0.15384615384615383,1,8,3,9,-,-,0.5,SYNONYMY,alod_emb
conference,edas-ekaw,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,iasted-sigkdd,alod_emb,ALL,0.3793103448275862,0.7333333333333333,0.0,0.5,11,18,4,29,101738690,00:00:00,0.5,SYNONYMY,alod_emb
conference,iasted-sigkdd,alod_emb,CLASSES,0.5,0.7333333333333333,0.0,0.5945945945945945,11,11,4,22,-,-,0.5,SYNONYMY,alod_emb
conference,iasted-sigkdd,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,7,0,7,-,-,0.5,SYNONYMY,alod_emb
conference,iasted-sigkdd,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-edas,alod_emb,ALL,0.27586206896551724,0.6153846153846154,0.0,0.380952380952381,8,21,5,29,578701714,00:00:00,0.5,SYNONYMY,alod_emb
conference,cmt-edas,alod_emb,CLASSES,0.4444444444444444,1.0,0.0,0.6153846153846153,8,10,0,18,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-edas,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,11,5,11,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-edas,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,conference-iasted,alod_emb,ALL,0.13793103448275862,0.2857142857142857,0.0,0.18604651162790697,4,25,10,29,223547558,00:00:00,0.5,SYNONYMY,alod_emb
conference,conference-iasted,alod_emb,CLASSES,0.16,0.3076923076923077,0.0,0.2105263157894737,4,21,9,25,-,-,0.5,SYNONYMY,alod_emb
conference,conference-iasted,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,4,1,4,-,-,0.5,SYNONYMY,alod_emb
conference,conference-iasted,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,conference-ekaw,alod_emb,ALL,0.27906976744186046,0.48,0.1875,0.35294117647058815,12,31,13,43,129717268,00:00:00,0.5,SYNONYMY,alod_emb
conference,conference-ekaw,alod_emb,CLASSES,0.2894736842105263,0.4782608695652174,0.2,0.360655737704918,11,27,12,38,-,-,0.5,SYNONYMY,alod_emb
conference,conference-ekaw,alod_emb,PROPERTIES,0.2,0.5,0.0,0.28571428571428575,1,4,1,5,-,-,0.5,SYNONYMY,alod_emb
conference,conference-ekaw,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,conference-edas,alod_emb,ALL,0.28205128205128205,0.6470588235294118,0.25,0.3928571428571429,11,28,6,39,181394587,00:00:00,0.5,SYNONYMY,alod_emb
conference,conference-edas,alod_emb,CLASSES,0.36,0.6428571428571429,0.2857142857142857,0.4615384615384615,9,16,5,25,-,-,0.5,SYNONYMY,alod_emb
conference,conference-edas,alod_emb,PROPERTIES,0.14285714285714285,0.6666666666666666,0.0,0.23529411764705882,2,12,1,14,-,-,0.5,SYNONYMY,alod_emb
conference,conference-edas,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-sigkdd,alod_emb,ALL,0.35,0.6363636363636364,0.0,0.45161290322580644,7,13,4,20,61893534,00:00:00,0.5,SYNONYMY,alod_emb
conference,ekaw-sigkdd,alod_emb,CLASSES,0.3684210526315789,0.6363636363636364,0.0,0.4666666666666667,7,12,4,19,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-sigkdd,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-sigkdd,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-iasted,alod_emb,ALL,0.16666666666666666,1.0,0.0,0.2857142857142857,4,20,0,24,548759146,00:00:00,0.5,SYNONYMY,alod_emb
conference,cmt-iasted,alod_emb,CLASSES,0.25,1.0,0.0,0.4,4,12,0,16,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-iasted,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,8,0,8,-,-,0.5,SYNONYMY,alod_emb
conference,cmt-iasted,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,edas-sigkdd,alod_emb,ALL,0.3333333333333333,0.5333333333333333,0.125,0.4102564102564102,8,16,7,24,116259118,00:00:00,0.5,SYNONYMY,alod_emb
conference,edas-sigkdd,alod_emb,CLASSES,0.4444444444444444,0.7272727272727273,0.25,0.5517241379310345,8,10,3,18,-,-,0.5,SYNONYMY,alod_emb
conference,edas-sigkdd,alod_emb,PROPERTIES,0.0,0.0,0.0,0.0,0,6,4,6,-,-,0.5,SYNONYMY,alod_emb
conference,edas-sigkdd,alod_emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
conference,ekaw-iasted,COMBINED_Emb,ALL,0.02527075812274368,0.7,0.25,0.048780487804878044,7,270,3,277,0,00:00:00,-,-,-
conference,ekaw-iasted,COMBINED_Emb,CLASSES,0.03365384615384615,0.7,0.25,0.06422018348623852,7,201,3,208,-,-,-,-,-
conference,ekaw-iasted,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,69,0,69,-,-,-,-,-
conference,ekaw-iasted,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,confof-iasted,COMBINED_Emb,ALL,0.03389830508474576,0.6666666666666666,0.4,0.06451612903225806,6,171,3,177,0,00:00:00,-,-,-
conference,confof-iasted,COMBINED_Emb,CLASSES,0.044444444444444446,0.6666666666666666,0.4,0.08333333333333334,6,129,3,135,-,-,-,-,-
