Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.5107779747485631,0.5580786763701693,0.07543825222396651,0.5333817135690891,0.5046728971962616,0.5311475409836065,0.0718954248366013,0.5175718849840255,162,11,159,143,321,5328609039,00:00:05,0.5,SYNONYMY,wordnet_emb
CLASSES,0.6322207709812753,0.5981245102771747,0.0365079365079365,0.6147001899230244,0.6320346320346321,0.5637065637065637,0.05084745762711865,0.5959183673469389,146,6,85,113,231,-,-,0.5,SYNONYMY,wordnet_emb
PROPERTIES,0.18095238095238098,0.2507936507936508,0.12698412698412698,0.21022408963585434,0.17777777777777778,0.34782608695652173,0.14285714285714285,0.23529411764705882,16,5,74,30,90,-,-,0.5,SYNONYMY,wordnet_emb
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,wordnet_emb
