Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.6813882701487743,0.5687499857371305,0.08867521367521368,0.6199947359485216,0.6748971193415638,0.5377049180327869,0.08496732026143791,0.5985401459854015,164,13,79,141,243,19741362854,00:00:19,0.5,SYNONYMY_OR_HYPERNYMY,Wiktionary
CLASSES,0.797566454709312,0.637684708533025,0.11190476190476191,0.7087204598504842,0.796875,0.5907335907335908,0.1016949152542373,0.6784922394678493,153,12,39,106,192,-,-,0.5,SYNONYMY_OR_HYPERNYMY,Wiktionary
PROPERTIES,0.12063492063492062,0.13968253968253969,0.015873015873015872,0.12946186604723192,0.21568627450980393,0.2391304347826087,0.02857142857142857,0.2268041237113402,11,1,40,35,51,-,-,0.5,SYNONYMY_OR_HYPERNYMY,Wiktionary
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY_OR_HYPERNYMY,Wiktionary
