Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.20833333333333334,0.3333333333333333,0.0,0.25641025641025644,5,19,10,24,5132679295,00:00:05,0.5,SYNONYMY,alod_emb
CLASSES,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,4,8,8,12,-,-,0.5,SYNONYMY,alod_emb
PROPERTIES,0.08333333333333333,0.3333333333333333,0.0,0.13333333333333333,1,11,2,12,-,-,0.5,SYNONYMY,alod_emb
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
