Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.7885756676557863,0.7011873350923483,0.024830699774266364,0.74231843575419,0.7885756676557863,0.7011873350923483,0.024830699774266364,0.74231843575419,1063,11,285,453,1348,24353192241,00:00:24,0.5,SYNONYMY,alod_emb
CLASSES,0.7897473997028231,0.7011873350923483,0.024830699774266364,0.742837176799441,0.7897473997028231,0.7011873350923483,0.024830699774266364,0.742837176799441,1063,11,283,453,1346,-,-,0.5,SYNONYMY,alod_emb
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,alod_emb
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,alod_emb
