Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.6428571428571429,0.6,0.0,0.6206896551724138,9,5,6,14,1024287104,00:00:01,0.5,SYNONYMY,WikidataKnowledgeSource
CLASSES,0.7777777777777778,0.6363636363636364,0.0,0.7000000000000001,7,2,4,9,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
PROPERTIES,0.4,0.5,0.0,0.4444444444444445,2,3,2,5,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
