Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
SAP_FS,dbpedia_emb,wikidata_emb,0.05,1,4,0
SAP_FS,wikidata_emb,dbpedia_emb,0.05,1,4,0
SAP_FS,dbpedia_emb,COMBINED_Emb,0.05,5,0,0
SAP_FS,COMBINED_Emb,dbpedia_emb,0.05,5,0,0
conference,wordnet_emb,wiktionary_emb,0.05,15,6,0
conference,wiktionary_emb,wordnet_emb,0.05,15,6,0
largebio,babelnet_emb,dbpedia_emb,0.05,1,0,0
largebio,dbpedia_emb,babelnet_emb,0.05,1,0,0
largebio,COMBINED_Emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,wikidata_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wikidata_emb,0.05,1,0,0
largebio,COMBINED_Emb,COMBINED_Emb,0.05,0,1,0
SAP_FS,dbpedia_emb,wiktionary_emb,0.05,3,2,0
SAP_FS,wiktionary_emb,dbpedia_emb,0.05,3,2,0
conference,babelnet_emb,dbpedia_emb,0.05,0,21,0
conference,dbpedia_emb,babelnet_emb,0.05,0,21,0
largebio,wordnet_emb,wiktionary_emb,0.05,1,0,0
largebio,wiktionary_emb,wordnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,COMBINED_Emb,0.05,1,0,0
anatomy_track,COMBINED_Emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wiktionary_emb,0.05,1,0,0
anatomy_track,wiktionary_emb,babelnet_emb,0.05,1,0,0
SAP_FS,dbpedia_emb,wordnet_emb,0.05,5,0,0
SAP_FS,wordnet_emb,dbpedia_emb,0.05,5,0,0
largebio,wordnet_emb,wordnet_emb,0.05,0,1,0
anatomy_track,wordnet_emb,babelnet_emb,0.05,1,0,0
anatomy_track,babelnet_emb,wordnet_emb,0.05,1,0,0
SAP_FS,wordnet_emb,COMBINED_Emb,0.05,5,0,0
