Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
SAP_FS,babelnet_syn,PROPERTIES,0.36000781244038826,0.15366748149303933,0.005616438356164383,0.21539480099154862,0.7716092761770906,0.5020576131687243,0.02236770321876705,0.6083102493074792,2196,41,650,2178,2846,-,-,0.5,SYNONYMY,BabelNet Symbolic
SAP_FS,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,babelnet_syn,ALL,0.946843853820598,0.7519788918205804,0.2054176072234763,0.838235294117647,0.946843853820598,0.7519788918205804,0.2054176072234763,0.838235294117647,1140,91,64,376,1204,813550060154,00:13:33,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,babelnet_syn,CLASSES,0.9484193011647255,0.7519788918205804,0.2054176072234763,0.8388520971302428,0.9484193011647255,0.7519788918205804,0.2054176072234763,0.8388520971302428,1140,91,62,376,1202,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
largebio,webIsClassic_syn,ALL,0.9793672627235214,0.265078183172003,0.0,0.4172282449457955,0.9793672627235214,0.265078183172003,0.0,0.4172282449457955,712,0,15,1974,810,13826304876702,03:50:26,0.5,SYNONYMY,AlodClassic_MinConf_0.5
largebio,webIsClassic_syn,CLASSES,0.9793672627235214,0.265078183172003,0.0,0.4172282449457955,0.9793672627235214,0.265078183172003,0.0,0.4172282449457955,712,0,15,1974,810,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
largebio,webIsClassic_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
largebio,webIsClassic_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
conference,webIsClassic_syn,ALL,0.6811357954215097,0.525918994038045,0.0,0.5935476259396212,0.6593886462882096,0.49508196721311476,0.0,0.5655430711610487,151,0,78,154,229,28787086057,00:00:28,0.5,SYNONYMY,AlodClassic_MinConf_0.5
conference,webIsClassic_syn,CLASSES,0.7976911976911977,0.5866198168666296,0.0,0.6760640627499469,0.7833333333333333,0.5444015444015444,0.0,0.642369020501139,141,0,39,118,180,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
conference,webIsClassic_syn,PROPERTIES,0.12486772486772486,0.13015873015873014,0.0,0.12745834156622537,0.20408163265306123,0.21739130434782608,0.0,0.2105263157894737,10,0,39,36,49,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
conference,webIsClassic_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
SAP_FS,webIsClassic_syn,ALL,0.467575377212939,0.14388503815942727,4.6674445740956823E-4,0.22005382295016435,0.8320931737301844,0.5025400547088706,0.0018484288354898336,0.6266293092946766,2572,4,519,2546,3091,68939597551,00:01:08,0.5,SYNONYMY,AlodClassic_MinConf_0.5
SAP_FS,webIsClassic_syn,CLASSES,0.19855769230769232,0.12383808095952024,0.0,0.152539242843952,0.9927884615384616,0.5551075268817204,0.0,0.7120689655172413,413,0,3,331,416,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
SAP_FS,webIsClassic_syn,PROPERTIES,0.4627802323678612,0.1518072502210433,5.47945205479452E-4,0.22861967261839833,0.8071028037383178,0.49359853680841337,0.002182214948172395,0.6125691587459214,2159,4,516,2215,2675,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
SAP_FS,webIsClassic_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
anatomy_track,webIsClassic_syn,ALL,0.9668202764976959,0.691952506596306,0.0,0.8066128412149172,0.9668202764976959,0.691952506596306,0.0,0.8066128412149172,1049,0,36,467,1085,928810219383,00:15:28,0.5,SYNONYMY,AlodClassic_MinConf_0.5
anatomy_track,webIsClassic_syn,CLASSES,0.9686057248384118,0.691952506596306,0.0,0.8072335513659099,0.9686057248384118,0.691952506596306,0.0,0.8072335513659099,1049,0,34,467,1083,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
anatomy_track,webIsClassic_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
anatomy_track,webIsClassic_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,AlodClassic_MinConf_0.5
largebio,dbpedia_syn,ALL,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,955,243,87,1731,1140,792254067773,00:13:12,0.5,SYNONYMY,DBpedia
largebio,dbpedia_syn,CLASSES,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,0.9165067178502879,0.3555472822040209,0.1234128999492128,0.5123390557939914,955,243,87,1731,1140,-,-,0.5,SYNONYMY,DBpedia
largebio,dbpedia_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,DBpedia
largebio,dbpedia_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,DBpedia
SAP_FS,dbpedia_syn,ALL,0.5369124133585381,0.15623213621926385,0.016222518283399396,0.24203601789190554,0.8099071207430341,0.511137162954279,0.022181146025878003,0.6267369429803545,2616,48,614,2502,3230,127352208971,00:02:07,0.5,SYNONYMY,DBpedia
SAP_FS,dbpedia_syn,CLASSES,0.5985576923076923,0.15103106341566058,0.027192982456140345,0.24120106950541909,0.992822966507177,0.5577956989247311,0.006042296072507553,0.7142857142857142,415,2,3,329,418,-,-,0.5,SYNONYMY,DBpedia
SAP_FS,dbpedia_syn,PROPERTIES,0.4807273606258378,0.1583130320209428,0.011292588689848964,0.2381865275241455,0.7827169274537695,0.5032007315957934,0.025095471903982543,0.6125800166991372,2201,46,611,2173,2812,-,-,0.5,SYNONYMY,DBpedia
SAP_FS,dbpedia_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,DBpedia
conference,dbpedia_syn,ALL,0.7311464990036418,0.5259189940380448,0.0,0.6117801075264774,0.7089201877934272,0.49508196721311476,0.0,0.583011583011583,151,0,62,154,213,13064358237,00:00:13,0.5,SYNONYMY,DBpedia
conference,dbpedia_syn,CLASSES,0.8555654662797519,0.5866198168666296,0.0,0.6960155023236341,0.8493975903614458,0.5444015444015444,0.0,0.6635294117647059,141,0,25,118,166,-,-,0.5,SYNONYMY,DBpedia
conference,dbpedia_syn,PROPERTIES,0.1222222222222222,0.13015873015873017,0.0,0.12606568832983928,0.2127659574468085,0.21739130434782608,0.0,0.21505376344086022,10,0,37,36,47,-,-,0.5,SYNONYMY,DBpedia
conference,dbpedia_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,DBpedia
anatomy_track,dbpedia_syn,ALL,0.9355692850838482,0.6992084432717678,0.024830699774266364,0.8003020007550019,0.9355692850838482,0.6992084432717678,0.024830699774266364,0.8003020007550019,1060,11,73,456,1133,488559683599,00:08:08,0.5,SYNONYMY,DBpedia
