Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,conference-sigkdd,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,3,1,-,-,0.5,SYNONYMY,WordNet
conference,conference-sigkdd,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,conference-confof,wordnet_syn,ALL,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.7407407407407408,10,2,5,12,94477846,00:00:00,0.5,SYNONYMY,WordNet
conference,conference-confof,wordnet_syn,CLASSES,0.875,0.6363636363636364,0.0,0.7368421052631579,7,1,4,8,-,-,0.5,SYNONYMY,WordNet
conference,conference-confof,wordnet_syn,PROPERTIES,0.75,0.75,0.5,0.75,3,1,1,4,-,-,0.5,SYNONYMY,WordNet
conference,conference-confof,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,confof-ekaw,wordnet_syn,ALL,0.8461538461538461,0.55,0.1,0.6666666666666667,11,2,9,13,64416455,00:00:00,0.5,SYNONYMY,WordNet
conference,confof-ekaw,wordnet_syn,CLASSES,0.9166666666666666,0.55,0.1,0.6874999999999999,11,1,9,12,-,-,0.5,SYNONYMY,WordNet
conference,confof-ekaw,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,WordNet
conference,confof-ekaw,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,confof-edas,wordnet_syn,ALL,0.631578947368421,0.631578947368421,0.125,0.631578947368421,12,7,7,19,84507315,00:00:00,0.5,SYNONYMY,WordNet
conference,confof-edas,wordnet_syn,CLASSES,0.9,0.6428571428571429,0.0,0.75,9,1,5,10,-,-,0.5,SYNONYMY,WordNet
conference,confof-edas,wordnet_syn,PROPERTIES,0.3333333333333333,0.6,0.3333333333333333,0.42857142857142855,3,6,2,9,-,-,0.5,SYNONYMY,WordNet
conference,confof-edas,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,cmt-ekaw,wordnet_syn,ALL,0.7142857142857143,0.45454545454545453,0.0,0.5555555555555556,5,2,6,7,106681444,00:00:00,0.5,SYNONYMY,WordNet
conference,cmt-ekaw,wordnet_syn,CLASSES,1.0,0.625,0.0,0.7692307692307693,5,0,3,5,-,-,0.5,SYNONYMY,WordNet
conference,cmt-ekaw,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,2,3,2,-,-,0.5,SYNONYMY,WordNet
conference,cmt-ekaw,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,edas-ekaw,wordnet_syn,ALL,0.625,0.43478260869565216,0.07692307692307693,0.5128205128205128,10,6,13,16,75425651,00:00:00,0.5,SYNONYMY,WordNet
conference,edas-ekaw,wordnet_syn,CLASSES,0.7692307692307693,0.5263157894736842,0.1,0.625,10,3,9,13,-,-,0.5,SYNONYMY,WordNet
conference,edas-ekaw,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,3,4,3,-,-,0.5,SYNONYMY,WordNet
conference,edas-ekaw,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,iasted-sigkdd,wordnet_syn,ALL,0.6470588235294118,0.7333333333333333,0.0,0.6875,11,6,4,17,51395719,00:00:00,0.5,SYNONYMY,WordNet
conference,iasted-sigkdd,wordnet_syn,CLASSES,0.9166666666666666,0.7333333333333333,0.0,0.8148148148148148,11,1,4,12,-,-,0.5,SYNONYMY,WordNet
conference,iasted-sigkdd,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,5,0,5,-,-,0.5,SYNONYMY,WordNet
conference,iasted-sigkdd,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,cmt-edas,wordnet_syn,ALL,0.6153846153846154,0.6153846153846154,0.0,0.6153846153846154,8,5,5,13,192818584,00:00:00,0.5,SYNONYMY,WordNet
conference,cmt-edas,wordnet_syn,CLASSES,0.8888888888888888,1.0,0.0,0.9411764705882353,8,1,0,9,-,-,0.5,SYNONYMY,WordNet
conference,cmt-edas,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,4,5,4,-,-,0.5,SYNONYMY,WordNet
conference,cmt-edas,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,conference-iasted,wordnet_syn,ALL,0.5714285714285714,0.2857142857142857,0.0,0.38095238095238093,4,3,10,7,103314590,00:00:00,0.5,SYNONYMY,WordNet
conference,conference-iasted,wordnet_syn,CLASSES,0.6666666666666666,0.3076923076923077,0.0,0.42105263157894735,4,2,9,6,-,-,0.5,SYNONYMY,WordNet
conference,conference-iasted,wordnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,1,1,-,-,0.5,SYNONYMY,WordNet
conference,conference-iasted,wordnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,WordNet
conference,conference-ekaw,wordnet_syn,ALL,0.6666666666666666,0.4,0.0625,0.5,10,5,15,15,80740073,00:00:00,0.5,SYNONYMY,WordNet
conference,conference-ekaw,wordnet_syn,CLASSES,0.6923076923076923,0.391304347826087,0.06666666666666667,0.5,9,4,14,13,-,-,0.5,SYNONYMY,WordNet
conference,conference-ekaw,wordnet_syn,PROPERTIES,0.5,0.5,0.0,0.5,1,1,1,2,-,-,0.5,SYNONYMY,WordNet
