Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,0.241051567239636,0.7862796833773087,0.27313769751693,0.3689831295465098,1192,121,3753,324,4945,0,00:00:00,-,-,-
CLASSES,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,0.24114909973700183,0.7862796833773087,0.27313769751693,0.3690973834958972,1192,121,3751,324,4943,-,-,-,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,-,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
