Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
ALL,0.677111287405405,0.5658953292546547,0.08490537240537241,0.6165278765094718,0.6639676113360324,0.5377049180327869,0.08496732026143791,0.5942028985507246,164,13,83,141,247,54694131449,00:00:54,0.5,SYNONYMY,BabelNet Symbolic
CLASSES,0.8142921892921894,0.6228477541733509,0.0742063492063492,0.7058186137649474,0.8128342245989305,0.5868725868725869,0.09322033898305085,0.6816143497757848,152,11,35,107,187,-,-,0.5,SYNONYMY,BabelNet Symbolic
PROPERTIES,0.13095238095238096,0.1634920634920635,0.03968253968253968,0.1454242074188166,0.2,0.2608695652173913,0.05714285714285714,0.22641509433962265,12,2,48,34,60,-,-,0.5,SYNONYMY,BabelNet Symbolic
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
